Date : 2024-07-23 11:28:27
Directory : /Users/yuwenjun/git_repo/code-train
Total : 594 files,  349092 codes, 19756 comments, 40780 blanks, all 409628 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C++              |        164 |    267,036 |     14,483 |     22,008 |    303,527 |
| C                |          5 |     31,112 |      2,024 |      7,030 |     40,166 |
| Python           |         52 |     13,725 |        976 |      3,049 |     17,750 |
| CUDA C++         |        166 |     12,896 |        418 |      3,344 |     16,658 |
| Markdown         |         61 |      4,552 |         14 |      1,605 |      6,171 |
| HTML             |          6 |      3,905 |          5 |        610 |      4,520 |
| Objective-C      |          1 |      2,681 |        130 |        463 |      3,274 |
| Shell Script     |         45 |      2,378 |        437 |        759 |      3,574 |
| JavaScript       |         11 |      2,280 |        462 |        402 |      3,144 |
| YAML             |         25 |      2,179 |        256 |        333 |      2,768 |
| CSS              |          9 |      1,896 |        343 |        575 |      2,814 |
| XML              |         12 |      1,501 |         25 |         20 |      1,546 |
| Makefile         |          3 |      1,176 |         85 |        250 |      1,511 |
| Swift            |         10 |      1,069 |         47 |        243 |      1,359 |
| JSON             |          5 |        366 |          0 |         10 |        376 |
| CMake            |          6 |        191 |          0 |         33 |        224 |
| Batch            |          4 |         68 |         26 |         31 |        125 |
| toml             |          1 |         33 |          0 |          5 |         38 |
| Ini              |          2 |         24 |          0 |          2 |         26 |
| pip requirements |          4 |         15 |          5 |          6 |         26 |
| Java Properties  |          2 |          9 |         20 |          2 |         31 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                        |        594 |    349,092 |     19,756 |     40,780 |    409,628 |
| . (Files)                                                                                                                                |          1 |          1 |         14 |          2 |         17 |
| code                                                                                                                                     |        585 |    348,771 |     19,732 |     40,735 |    409,238 |
| code (Files)                                                                                                                             |          7 |        398 |         27 |         31 |        456 |
| code/algo_traning                                                                                                                        |         24 |        998 |        124 |        138 |      1,260 |
| code/algo_traning (Files)                                                                                                                |          1 |         33 |         13 |         10 |         56 |
| code/algo_traning/labuladong                                                                                                             |         23 |        965 |        111 |        128 |      1,204 |
| code/algo_traning/labuladong (Files)                                                                                                     |          2 |         96 |          6 |         10 |        112 |
| code/algo_traning/labuladong/include                                                                                                     |          1 |         17 |          2 |          3 |         22 |
| code/algo_traning/labuladong/source                                                                                                      |         18 |        718 |         91 |         95 |        904 |
| code/algo_traning/labuladong/testcase                                                                                                    |          2 |        134 |         12 |         20 |        166 |
| code/cancanscript                                                                                                                        |          5 |        131 |         24 |         42 |        197 |
| code/classic_example                                                                                                                     |          1 |         36 |          0 |          8 |         44 |
| code/ielts                                                                                                                               |          1 |         22 |         32 |         15 |         69 |
| code/llama.cpp                                                                                                                           |        545 |    347,159 |     19,524 |     40,493 |    407,176 |
| code/llama.cpp (Files)                                                                                                                   |         15 |      5,442 |        338 |      1,437 |      7,217 |
| code/llama.cpp/.devops                                                                                                                   |          1 |         39 |          3 |          4 |         46 |
| code/llama.cpp/.github                                                                                                                   |         24 |      2,162 |        254 |        333 |      2,749 |
| code/llama.cpp/.github (Files)                                                                                                           |          2 |         93 |          1 |          4 |         98 |
| code/llama.cpp/.github/ISSUE_TEMPLATE                                                                                                    |          8 |        330 |          0 |         22 |        352 |
| code/llama.cpp/.github/workflows                                                                                                         |         14 |      1,739 |        253 |        307 |      2,299 |
| code/llama.cpp/ci                                                                                                                        |          2 |        579 |         35 |        172 |        786 |
| code/llama.cpp/cmake                                                                                                                     |          4 |         90 |          0 |         16 |        106 |
| code/llama.cpp/common                                                                                                                    |         18 |     31,490 |      6,378 |      4,940 |     42,808 |
| code/llama.cpp/docs                                                                                                                      |          4 |        231 |          0 |        103 |        334 |
| code/llama.cpp/examples                                                                                                                  |        180 |     46,440 |      3,793 |     10,293 |     60,526 |
| code/llama.cpp/examples (Files)                                                                                                          |         17 |      3,341 |        270 |        785 |      4,396 |
| code/llama.cpp/examples/baby-llama                                                                                                       |          1 |        948 |        406 |        287 |      1,641 |
| code/llama.cpp/examples/batched                                                                                                          |          2 |        167 |         27 |         91 |        285 |
| code/llama.cpp/examples/batched-bench                                                                                                    |          2 |        190 |          6 |         72 |        268 |
| code/llama.cpp/examples/batched.swift                                                                                                    |          4 |        214 |         21 |         62 |        297 |
| code/llama.cpp/examples/batched.swift (Files)                                                                                            |          3 |         24 |          4 |          7 |         35 |
| code/llama.cpp/examples/batched.swift/Sources                                                                                            |          1 |        190 |         17 |         55 |        262 |
| code/llama.cpp/examples/benchmark                                                                                                        |          1 |        194 |         28 |         54 |        276 |
| code/llama.cpp/examples/convert-llama2c-to-ggml                                                                                          |          2 |        760 |         36 |        170 |        966 |
| code/llama.cpp/examples/cvector-generator                                                                                                |          4 |        662 |        113 |        150 |        925 |
| code/llama.cpp/examples/embedding                                                                                                        |          2 |        245 |         22 |         64 |        331 |
| code/llama.cpp/examples/eval-callback                                                                                                    |          2 |        232 |         19 |         39 |        290 |
| code/llama.cpp/examples/export-lora                                                                                                      |          2 |        408 |         16 |         66 |        490 |
| code/llama.cpp/examples/finetune                                                                                                         |          4 |      2,084 |         68 |        325 |      2,477 |
| code/llama.cpp/examples/gbnf-validator                                                                                                   |          1 |        104 |          8 |         21 |        133 |
| code/llama.cpp/examples/gguf                                                                                                             |          1 |        183 |         11 |         63 |        257 |
| code/llama.cpp/examples/gguf-split                                                                                                       |          3 |        510 |         54 |        102 |        666 |
| code/llama.cpp/examples/gritlm                                                                                                           |          2 |        193 |         20 |         70 |        283 |
| code/llama.cpp/examples/imatrix                                                                                                          |          2 |        539 |         29 |        118 |        686 |
| code/llama.cpp/examples/infill                                                                                                           |          2 |        527 |         42 |        139 |        708 |
| code/llama.cpp/examples/jeopardy                                                                                                         |          3 |         85 |          4 |         23 |        112 |
| code/llama.cpp/examples/llama-bench                                                                                                      |          2 |      1,539 |         16 |        168 |      1,723 |
| code/llama.cpp/examples/llama.android                                                                                                    |         15 |        599 |         70 |        114 |        783 |
| code/llama.cpp/examples/llama.android (Files)                                                                                            |          2 |          4 |         19 |          2 |         25 |
| code/llama.cpp/examples/llama.android/app                                                                                                |         10 |        262 |         24 |         16 |        302 |
| code/llama.cpp/examples/llama.android/app/src                                                                                            |         10 |        262 |         24 |         16 |        302 |
| code/llama.cpp/examples/llama.android/app/src/main                                                                                       |         10 |        262 |         24 |         16 |        302 |
| code/llama.cpp/examples/llama.android/app/src/main (Files)                                                                               |          1 |         25 |          0 |          6 |         31 |
